frame_index,time_sec,class_id,class_name,confidence,xmin,ymin,xmax,ymax,preprocess_ms,inference_ms,postprocess_ms,end_to_end_fps
123,6.165,1,mouse,0.322136,408.21,0.00,639.73,467.29,2.617,25.549,3.046,20.686
124,6.223,1,mouse,0.969998,209.60,249.69,422.06,474.28,2.513,25.564,3.091,20.360
124,6.223,1,mouse,0.702233,460.55,0.00,640.00,447.84,2.513,25.564,3.091,20.360
125,6.263,1,mouse,0.967262,208.87,258.17,418.01,474.14,2.504,25.587,3.011,20.758
125,6.263,1,mouse,0.504094,438.23,0.00,640.00,471.12,2.504,25.587,3.011,20.758
125,6.263,1,mouse,0.455512,0.36,0.00,55.64,149.33,2.504,25.587,3.011,20.758
126,6.322,1,mouse,0.911568,209.03,275.55,403.71,473.11,2.512,25.518,3.261,20.380
127,6.362,1,mouse,0.963891,208.30,287.34,396.88,475.72,2.536,25.558,3.054,20.811
127,6.362,1,mouse,0.368421,299.91,0.00,640.00,472.91,2.536,25.558,3.054,20.811
128,6.423,1,mouse,0.936388,203.17,290.02,427.31,474.86,3.053,25.541,3.127,20.385
128,6.423,1,mouse,0.298399,339.05,0.03,640.00,472.92,3.053,25.541,3.127,20.385
129,6.463,1,mouse,0.952366,188.98,291.29,370.32,475.88,2.574,25.531,2.948,20.820
129,6.463,1,mouse,0.263461,284.63,0.00,640.00,473.72,2.574,25.531,2.948,20.820
130,6.524,1,mouse,0.642987,184.15,289.25,363.55,474.69,2.828,25.537,3.204,20.429
131,6.563,1,mouse,0.948195,172.35,285.86,392.10,472.58,2.574,25.750,2.852,20.802
132,6.623,1,mouse,0.898577,159.18,285.79,380.34,473.09,2.571,25.565,3.186,20.433
133,6.663,1,mouse,0.723147,140.49,275.93,358.45,472.42,2.603,25.737,2.945,20.826
133,6.663,1,mouse,0.282967,201.11,0.00,638.35,480.00,2.603,25.737,2.945,20.826
134,6.723,1,mouse,0.961551,113.76,256.28,295.06,473.17,2.827,25.561,3.178,20.431
135,6.763,1,mouse,0.902774,107.79,245.11,330.17,471.44,2.579,25.584,3.013,20.864
136,6.824,1,mouse,0.637989,98.45,236.83,285.02,472.93,2.827,25.477,3.189,20.451
136,6.824,1,mouse,0.264215,161.91,0.00,612.03,479.59,2.827,25.477,3.189,20.451
137,6.864,1,mouse,0.826122,96.09,225.58,268.74,472.16,2.574,25.534,3.010,20.841
138,6.924,1,mouse,0.924898,86.69,207.29,257.03,470.70,2.745,25.572,3.111,20.454
138,6.924,1,mouse,0.283927,141.81,0.00,622.14,480.00,2.745,25.572,3.111,20.454
139,6.964,1,mouse,0.901677,85.60,210.27,290.17,454.14,2.594,25.571,3.263,20.803
140,7.022,1,mouse,0.792203,74.38,210.51,242.97,471.98,2.520,25.516,3.013,20.471
141,7.062,1,mouse,0.824794,77.89,211.16,245.01,473.39,2.535,25.538,3.069,20.863
142,7.122,1,mouse,0.548536,76.85,215.50,277.20,461.58,2.836,25.504,3.294,20.447
143,7.164,1,mouse,0.802559,77.42,209.03,242.03,473.28,2.503,26.453,3.137,20.833
144,7.223,1,mouse,0.713808,85.63,206.17,252.65,473.24,2.766,25.523,3.198,20.447
144,7.223,0,bottle,0.380153,85.30,207.22,252.14,470.56,2.766,25.523,3.198,20.447
145,7.263,1,mouse,0.599051,83.68,208.60,250.30,472.62,2.605,25.749,2.949,20.835
146,7.322,1,mouse,0.883899,82.45,200.44,284.64,468.24,2.504,25.549,3.425,20.461
147,7.361,1,mouse,0.934754,89.06,191.49,278.81,457.37,2.508,25.546,3.076,20.921
148,7.423,1,mouse,0.814200,84.43,186.71,269.32,454.36,2.502,25.529,3.340,20.495
149,7.462,1,mouse,0.915610,81.97,181.12,273.38,465.71,2.630,25.499,2.957,20.887
150,7.525,1,mouse,0.924971,64.19,202.57,255.95,474.71,2.537,25.467,3.241,20.388
151,7.596,1,mouse,0.641076,48.59,212.16,215.20,470.64,2.613,28.967,3.752,19.814
152,7.637,1,mouse,0.509108,47.92,212.75,241.09,468.81,2.673,25.863,3.169,20.177
